Anio,DEPARTAMENTO,Total_Personas_Dpto,Region,Total_Personas_Region,Proporcion_Regional
2020,Alta Verapaz,1328668,Reg. II,1656554,0.802067424
2020,Baja Verapaz,327886,Reg. II,1656554,0.197932576
2020,Chimaltenango,733338,Reg. V,1914888,0.382966523
2020,Chiquimula,441579,Reg. III,1342861,0.328834481
2020,El Progreso,193069,Reg. III,1342861,0.143774374
2020,Escuintla,791639,Reg. V,1914888,0.41341269
2020,Guatemala,3515775,Reg. I,3515775,1
2020,Huehuetenango,1371676,Reg. VII,2434573,0.563415433
2020,Izabal,440495,Reg. III,1342861,0.328027249
2020,Jalapa,394234,Reg. IV,1381271,0.285413941
2020,Jutiapa,546005,Reg. IV,1381271,0.395291728
2020,Petén,613475,Reg. VIII,613475,1
2020,Quetzaltenango,896402,Reg. VI,3998936,0.224160127
2020,Quiché,1062897,Reg. VII,2434573,0.436584567
2020,Retalhuleu,371072,Reg. VI,3998936,0.092792683
2020,Sacatepéquez,389911,Reg. V,1914888,0.203620786
2020,San Marcos,1172210,Reg. VI,3998936,0.293130473
2020,Santa Rosa,441032,Reg. IV,1381271,0.319294331
2020,Sololá,467266,Reg. VI,3998936,0.116847581
2020,Suchitepéquez,605299,Reg. VI,3998936,0.151365013
2020,Totonicapán,486687,Reg. VI,3998936,0.121704123
2020,Zacapa,267718,Reg. III,1342861,0.199363895
2021,Alta Verapaz,1355134,Reg. II,1688671,0.802485505
2021,Baja Verapaz,333537,Reg. II,1688671,0.197514495
2021,Chimaltenango,746366,Reg. V,1945012,0.383733365
2021,Chiquimula,447544,Reg. III,1358866,0.329351091
2021,El Progreso,194388,Reg. III,1358866,0.143051633
2021,Escuintla,802479,Reg. V,1945012,0.412583059
2021,Guatemala,3557909,Reg. I,3557909,1
2021,Huehuetenango,1399367,Reg. VII,2481331,0.563958214
2021,Izabal,446461,Reg. III,1358866,0.328554103
2021,Jalapa,400905,Reg. IV,1399455,0.286472234
2021,Jutiapa,552114,Reg. IV,1399455,0.394520724
2021,Petén,622409,Reg. VIII,622409,1
2021,Quetzaltenango,909879,Reg. VI,4056093,0.224323998
2021,Quiché,1081964,Reg. VII,2481331,0.436041786
2021,Retalhuleu,376398,Reg. VI,4056093,0.092798168
2021,Sacatepéquez,396167,Reg. V,1945012,0.203683576
2021,San Marcos,1189274,Reg. VI,4056093,0.293206788
2021,Santa Rosa,446436,Reg. IV,1399455,0.319007042
2021,Sololá,474240,Reg. VI,4056093,0.116920396
2021,Suchitepéquez,612438,Reg. VI,4056093,0.1509921
2021,Totonicapán,493864,Reg. VI,4056093,0.121758549
2021,Zacapa,270473,Reg. III,1358866,0.199043173
2022,Alta Verapaz,1381253,Reg. II,1720391,0.802871557
2022,Baja Verapaz,339138,Reg. II,1720391,0.197128443
2022,Chimaltenango,759217,Reg. V,1974743,0.3844637
2022,Chiquimula,453449,Reg. III,1374667,0.329860977
2022,El Progreso,195673,Reg. III,1374667,0.142342109
2022,Escuintla,813169,Reg. V,1974743,0.411784723
2022,Guatemala,3599257,Reg. I,3599257,1
2022,Huehuetenango,1426830,Reg. VII,2527645,0.564489871
2022,Izabal,452338,Reg. III,1374667,0.329052782
2022,Jalapa,407468,Reg. IV,1417304,0.287495132
2022,Jutiapa,558105,Reg. IV,1417304,0.393779316
2022,Petén,631305,Reg. VIII,631305,1
2022,Quetzaltenango,923211,Reg. VI,4112574,0.224484958
2022,Quiché,1100815,Reg. VII,2527645,0.435510129
2022,Retalhuleu,381635,Reg. VI,4112574,0.092797114
2022,Sacatepéquez,402357,Reg. V,1974743,0.203751577
2022,San Marcos,1206198,Reg. VI,4112574,0.293295148
2022,Santa Rosa,451731,Reg. IV,1417304,0.318725552
2022,Sololá,481114,Reg. VI,4112574,0.116986102
2022,Suchitepéquez,619475,Reg. VI,4112574,0.150629508
2022,Totonicapán,500941,Reg. VI,4112574,0.12180717
2022,Zacapa,273207,Reg. III,1374667,0.198744132
2023,Alta Verapaz,1407025,Reg. II,1751680,0.803243172
2023,Baja Verapaz,344655,Reg. II,1751680,0.196756828
2023,Chimaltenango,771887,Reg. V,2004047,0.38516412
2023,Chiquimula,459294,Reg. III,1390231,0.330372435
2023,El Progreso,196917,Reg. III,1390231,0.141643367
2023,Escuintla,823684,Reg. V,2004047,0.411010321
2023,Guatemala,3639725,Reg. I,3639725,1
2023,Huehuetenango,1454019,Reg. VII,2573444,0.565008992
2023,Izabal,458107,Reg. III,1390231,0.32951862
2023,Jalapa,413918,Reg. IV,1434804,0.288484002
2023,Jutiapa,563958,Reg. IV,1434804,0.393055776
2023,Petén,640151,Reg. VIII,640151,1
2023,Quetzaltenango,936385,Reg. VI,4168349,0.224641699
2023,Quiché,1119425,Reg. VII,2573444,0.434991008
2023,Retalhuleu,386783,Reg. VI,4168349,0.092790455
2023,Sacatepéquez,408476,Reg. V,2004047,0.203825559
2023,San Marcos,1222951,Reg. VI,4168349,0.293389781
2023,Santa Rosa,456928,Reg. IV,1434804,0.318460222
2023,Sololá,487906,Reg. VI,4168349,0.11705018
2023,Suchitepéquez,626419,Reg. VI,4168349,0.150279883
2023,Totonicapán,507905,Reg. VI,4168349,0.121848003
2023,Zacapa,275913,Reg. III,1390231,0.198465579
2024,Alta Verapaz,1432432,Reg. II,1782510,0.803603907
2024,Baja Verapaz,350078,Reg. II,1782510,0.196396093
2024,Chimaltenango,784346,Reg. V,2032874,0.385831094
2024,Chiquimula,465067,Reg. III,1405562,0.33087619
2024,El Progreso,198129,Reg. III,1405562,0.140960698
2024,Escuintla,834026,Reg. V,2032874,0.410269402
2024,Guatemala,3679326,Reg. I,3679326,1
2024,Huehuetenango,1480901,Reg. VII,2618678,0.565514737
2024,Izabal,463785,Reg. III,1405562,0.3299641
2024,Jalapa,420247,Reg. IV,1451934,0.289439465
2024,Jutiapa,569668,Reg. IV,1451934,0.392351167
2024,Petén,648934,Reg. VIII,648934,1
2024,Quetzaltenango,949371,Reg. VI,4223314,0.2247929
2024,Quiché,1137777,Reg. VII,2618678,0.434485263
2024,Retalhuleu,391830,Reg. VI,4223314,0.092777852
2024,Sacatepéquez,414502,Reg. V,2032874,0.203899504
2024,San Marcos,1239504,Reg. VI,4223314,0.293490846
2024,Santa Rosa,462019,Reg. IV,1451934,0.318209368
2024,Sololá,494590,Reg. VI,4223314,0.117109455
2024,Suchitepéquez,633263,Reg. VI,4223314,0.14994457
2024,Totonicapán,514756,Reg. VI,4223314,0.121884378
2024,Zacapa,278581,Reg. III,1405562,0.198199012
